id,scientificName,taxonRank,kingdom,family,vernacularName,individualCount,lifeStage,longitudeDecimal,latitudeDecimal,continent,country,locality,references,eventDate,year
177161393@OBS,Passerculus sandwichensis,species,Animalia,PASSERELLIDAE,Savannah Sparrow,1,unknown,-113.98922,49.534445,North America,Canada,Alberta,https://data.biodiversitydata.nl/obsint/observation/OBS.177161393,2019-07-18,2019
177161391@OBS,Passerculus sandwichensis,species,Animalia,PASSERELLIDAE,Savannah Sparrow,1,unknown,-114.226331666667,50.4212416666667,North America,Canada,Alberta,https://data.biodiversitydata.nl/obsint/observation/OBS.177161391,2019-07-18,2019
177161385@OBS,Cervus canadensis,species,Animalia,DEER_CERVIDAE,American Elk,1,unknown,-114.30212,50.7690633333333,North America,Canada,Alberta,https://data.biodiversitydata.nl/obsint/observation/OBS.177161385,2019-07-18,2019
177161377@OBS,Cervus canadensis,species,Animalia,DEER_CERVIDAE,American Elk,1,unknown,-115.523458333333,51.17864,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177161377,2019-07-17,2019
177161368@OBS,Larus delawarensis,species,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Ring-billed Gull,1,unknown,-115.558365,51.1653616666667,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177161368,2019-07-17,2019
177161345@OBS,Cinclus mexicanus,species,Animalia,DIPPERS_CINCLIDAE,American Dipper,1,unknown,-115.836968333333,51.254695,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177161345,2019-07-17,2019
177161330@OBS,Zonotrichia leucophrys,species,Animalia,PASSERELLIDAE,White-crowned Sparrow,1,unknown,-115.822855,51.2787733333333,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177161330,2019-07-17,2019
177161273@OBS,Callospermophilus lateralis,species,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Golden-mantled Ground Squirrel,1,unknown,-115.831065,51.2607016666667,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177161273,2019-07-17,2019
177161265@OBS,Callospermophilus lateralis,species,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Golden-mantled Ground Squirrel,1,unknown,-115.837148333333,51.25467,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177161265,2019-07-17,2019
177161163@OBS,Agelaius phoeniceus,species,Animalia,ICTERIDS_ICTERIDAE,Red-winged Blackbird,1,unknown,-115.594858333333,51.1838216666667,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177161163,2019-07-17,2019
177161156@OBS,Haliaeetus leucocephalus,species,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bald Eagle,1,unknown,-115.59413,51.1840216666667,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177161156,2019-07-17,2019
177160937@OBS,Passer domesticus,species,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,1,unknown,-115.575391666667,51.1768433333333,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177160937,2019-07-16,2019
177160926@OBS,Regulus calendula,species,Animalia,KINGLETS_REGULIDAE,Ruby-crowned Kinglet,1,unknown,-115.582095,51.1814983333333,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177160926,2019-07-16,2019
177160914@OBS,Picoides dorsalis,species,Animalia,WOODPECKERS_PICIDAE,American Three-toed Woodpecker,1,unknown,-115.583715,51.1817916666667,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177160914,2019-07-16,2019
177160859@OBS,Turdus migratorius,species,Animalia,THRUSHES_TURDIDAE,American Robin,1,unknown,-115.615516666667,51.1657466666667,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177160859,2019-07-16,2019
177160849@OBS,Bombycilla cedrorum,species,Animalia,WAXWINGS_BOMBYCILLIDAE,Cedar Waxwing,1,unknown,-115.615421666667,51.1658766666667,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177160849,2019-07-16,2019
177160829@OBS,Bombycilla cedrorum,species,Animalia,WAXWINGS_BOMBYCILLIDAE,Cedar Waxwing,1,unknown,-115.615453333333,51.165755,North America,Canada,Banff National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177160829,2019-07-16,2019
